2011-06-21 02:23:55 Notice: Notice (8): Undefined variable: criterio in [/srv/http/cc51ag1/app/controllers/bajar_documento_controller.php, line 25]
2011-06-21 02:36:45 Notice: Notice (8): Undefined variable: criterio in [/srv/http/cc51ag1/app/controllers/bajar_documento_controller.php, line 25]
2011-06-21 03:09:41 Notice: Notice (8): Undefined offset: 1 in [/srv/http/cc51ag1/app/controllers/desafios_controller.php, line 67]
2011-06-21 03:09:41 Notice: Notice (8): Undefined index:  in [/srv/http/cc51ag1/app/controllers/desafios_controller.php, line 231]
2011-06-21 03:09:41 Notice: Notice (8): Undefined index:  in [/srv/http/cc51ag1/app/controllers/desafios_controller.php, line 234]
2011-06-21 03:13:43 Notice: Notice (8): Undefined offset: 1 in [/srv/http/cc51ag1/app/controllers/desafios_controller.php, line 70]
2011-06-21 03:13:43 Notice: Notice (8): Undefined index:  in [/srv/http/cc51ag1/app/controllers/desafios_controller.php, line 234]
2011-06-21 03:13:43 Notice: Notice (8): Undefined index:  in [/srv/http/cc51ag1/app/controllers/desafios_controller.php, line 237]
2011-06-21 03:14:24 Notice: Notice (8): Undefined offset: 1 in [/srv/http/cc51ag1/app/controllers/desafios_controller.php, line 70]
2011-06-21 03:14:25 Notice: Notice (8): Undefined index:  in [/srv/http/cc51ag1/app/controllers/desafios_controller.php, line 234]
2011-06-21 03:14:25 Notice: Notice (8): Undefined index:  in [/srv/http/cc51ag1/app/controllers/desafios_controller.php, line 237]
2011-06-21 03:20:37 Notice: Notice (8): Undefined offset: 1 in [/srv/http/cc51ag1/app/controllers/desafios_controller.php, line 71]
2011-06-21 03:20:37 Notice: Notice (8): Undefined index:  in [/srv/http/cc51ag1/app/controllers/desafios_controller.php, line 235]
2011-06-21 03:20:37 Notice: Notice (8): Undefined index:  in [/srv/http/cc51ag1/app/controllers/desafios_controller.php, line 238]
2011-06-21 04:17:40 Notice: Notice (8): Undefined offset: 1 in [/srv/http/cc51ag1/app/controllers/desafios_controller.php, line 73]
2011-06-21 04:17:40 Notice: Notice (8): Undefined index:  in [/srv/http/cc51ag1/app/controllers/desafios_controller.php, line 251]
2011-06-21 04:17:40 Notice: Notice (8): Undefined index:  in [/srv/http/cc51ag1/app/controllers/desafios_controller.php, line 254]
2011-06-21 04:18:44 Notice: Notice (8): Undefined offset: 1 in [/srv/http/cc51ag1/app/controllers/desafios_controller.php, line 73]
2011-06-21 04:18:44 Notice: Notice (8): Undefined index:  in [/srv/http/cc51ag1/app/controllers/desafios_controller.php, line 251]
2011-06-21 04:18:44 Notice: Notice (8): Undefined index:  in [/srv/http/cc51ag1/app/controllers/desafios_controller.php, line 254]
2011-06-21 04:18:45 Notice: Notice (8): Undefined offset: 1 in [/srv/http/cc51ag1/app/controllers/desafios_controller.php, line 73]
2011-06-21 04:18:45 Notice: Notice (8): Undefined index:  in [/srv/http/cc51ag1/app/controllers/desafios_controller.php, line 251]
2011-06-21 04:18:45 Notice: Notice (8): Undefined index:  in [/srv/http/cc51ag1/app/controllers/desafios_controller.php, line 254]
2011-06-21 04:19:59 Notice: Notice (8): Undefined offset: 1 in [/srv/http/cc51ag1/app/controllers/desafios_controller.php, line 74]
2011-06-21 04:19:59 Notice: Notice (8): Undefined index:  in [/srv/http/cc51ag1/app/controllers/desafios_controller.php, line 252]
2011-06-21 04:19:59 Notice: Notice (8): Undefined index:  in [/srv/http/cc51ag1/app/controllers/desafios_controller.php, line 255]
2011-06-21 04:21:03 Notice: Notice (8): Undefined offset: 1 in [/srv/http/cc51ag1/app/controllers/desafios_controller.php, line 75]
2011-06-21 04:21:03 Notice: Notice (8): Undefined index:  in [/srv/http/cc51ag1/app/controllers/desafios_controller.php, line 253]
2011-06-21 04:21:03 Notice: Notice (8): Undefined index:  in [/srv/http/cc51ag1/app/controllers/desafios_controller.php, line 256]
2011-06-21 04:31:31 Notice: Notice (8): Undefined index: es_experto in [/srv/http/cc51ag1/app/models/usuario.php, line 188]
2011-06-21 04:33:18 Notice: Notice (8): Undefined index: es_experto in [/srv/http/cc51ag1/app/models/usuario.php, line 188]
2011-06-21 05:08:49 Notice: Notice (8): Undefined offset: 1 in [/srv/http/cc51ag1/app/views/admin_documentos/edit.ctp, line 214]
2011-06-21 05:09:52 Notice: Notice (8): Undefined offset: 1 in [/srv/http/cc51ag1/app/views/admin_documentos/edit.ctp, line 214]
2011-06-21 05:18:13 Notice: Notice (8): Undefined offset: 1 in [/srv/http/cc51ag1/app/views/admin_documentos/edit.ctp, line 214]
2011-06-21 05:18:32 Notice: Notice (8): Undefined offset: 1 in [/srv/http/cc51ag1/app/views/admin_documentos/edit.ctp, line 214]
2011-06-21 05:18:51 Notice: Notice (8): Undefined offset: 1 in [/srv/http/cc51ag1/app/views/admin_documentos/edit.ctp, line 214]
2011-06-21 05:20:49 Notice: Notice (8): Undefined offset: 1 in [/srv/http/cc51ag1/app/views/admin_documentos/edit.ctp, line 214]
2011-06-21 05:20:52 Notice: Notice (8): Undefined offset: 1 in [/srv/http/cc51ag1/app/views/admin_documentos/edit.ctp, line 214]
2011-06-21 05:21:26 Notice: Notice (8): Undefined index: id_estadisticas in [/srv/http/cc51ag1/app/controllers/admin_documentos_controller.php, line 306]
2011-06-21 05:21:26 Notice: Notice (8): Undefined offset: 1 in [/srv/http/cc51ag1/app/views/admin_documentos/edit.ctp, line 214]
2011-06-21 05:21:34 Notice: Notice (8): Undefined index: id_estadisticas in [/srv/http/cc51ag1/app/controllers/admin_documentos_controller.php, line 306]
2011-06-21 05:23:04 Notice: Notice (8): Undefined index: id_estadisticas in [/srv/http/cc51ag1/app/controllers/admin_documentos_controller.php, line 306]
2011-06-21 05:23:10 Notice: Notice (8): Undefined index: id_estadisticas in [/srv/http/cc51ag1/app/controllers/admin_documentos_controller.php, line 306]
2011-06-21 05:24:59 Notice: Notice (8): Undefined index: id_estadisticas in [/srv/http/cc51ag1/app/controllers/admin_documentos_controller.php, line 306]
2011-06-21 05:26:36 Notice: Notice (8): Undefined index: id_estadisticas in [/srv/http/cc51ag1/app/controllers/admin_documentos_controller.php, line 308]
2011-06-21 05:26:51 Notice: Notice (8): Undefined index: id_estadisticas in [/srv/http/cc51ag1/app/controllers/admin_documentos_controller.php, line 308]
2011-06-21 05:27:38 Notice: Notice (8): Undefined index: id_estadisticas in [/srv/http/cc51ag1/app/controllers/admin_documentos_controller.php, line 307]
2011-06-21 05:28:05 Notice: Notice (8): Undefined offset: 1 in [/srv/http/cc51ag1/app/views/admin_documentos/edit.ctp, line 214]
2011-06-21 05:34:27 Notice: Notice (8): Undefined index: Documento in [/srv/http/cc51ag1/app/controllers/admin_documentos_controller.php, line 270]
2011-06-21 05:36:12 Notice: Notice (8): Undefined index: Documento in [/srv/http/cc51ag1/app/controllers/admin_documentos_controller.php, line 269]
2011-06-21 05:38:18 Notice: Notice (8): Undefined index: Documento in [/srv/http/cc51ag1/app/controllers/admin_documentos_controller.php, line 269]
2011-06-21 05:38:29 Notice: Notice (8): Undefined index: Documento in [/srv/http/cc51ag1/app/controllers/admin_documentos_controller.php, line 269]
2011-06-21 05:39:07 Notice: Notice (8): Undefined index: Documento in [/srv/http/cc51ag1/app/controllers/admin_documentos_controller.php, line 270]
2011-06-21 05:40:18 Notice: Notice (8): Undefined offset: 1 in [/srv/http/cc51ag1/app/views/admin_documentos/edit.ctp, line 214]
2011-06-21 05:42:28 Notice: Notice (8): Undefined offset: 1 in [/srv/http/cc51ag1/app/views/admin_documentos/edit.ctp, line 214]
2011-06-21 05:43:13 Notice: Notice (8): Undefined offset: 1 in [/srv/http/cc51ag1/app/views/admin_documentos/edit.ctp, line 214]
2011-06-21 05:55:04 Notice: Notice (8): Undefined offset: 1 in [/srv/http/cc51ag1/app/views/admin_documentos/edit.ctp, line 214]
2011-06-21 05:58:45 Notice: Notice (8): Undefined offset: 1 in [/srv/http/cc51ag1/app/views/admin_documentos/edit.ctp, line 214]
2011-06-21 06:01:07 Notice: Notice (8): Undefined offset: 1 in [/srv/http/cc51ag1/app/views/admin_documentos/edit.ctp, line 214]
2011-06-21 06:01:11 Notice: Notice (8): Undefined offset: 1 in [/srv/http/cc51ag1/app/views/admin_documentos/edit.ctp, line 214]
2011-06-21 06:01:48 Notice: Notice (8): Undefined offset: 1 in [/srv/http/cc51ag1/app/views/admin_documentos/edit.ctp, line 214]
