2011-06-21 02:23:55 Warning: Warning (2): Missing argument 1 for BajarDocumentoController::index() in [/srv/http/cc51ag1/app/controllers/bajar_documento_controller.php, line 24]
2011-06-21 02:36:45 Warning: Warning (2): Missing argument 1 for BajarDocumentoController::index() in [/srv/http/cc51ag1/app/controllers/bajar_documento_controller.php, line 24]
2011-06-21 03:09:41 Warning: Warning (2): array_rand() [http://php.net/function.array-rand]: Second argument has to be between 1 and the number of elements in the array in [/srv/http/cc51ag1/app/controllers/desafios_controller.php, line 222]
2011-06-21 03:09:41 Warning: Warning (2): array_rand() [http://php.net/function.array-rand]: Second argument has to be between 1 and the number of elements in the array in [/srv/http/cc51ag1/app/controllers/desafios_controller.php, line 223]
2011-06-21 03:13:43 Warning: Warning (2): array_rand() [http://php.net/function.array-rand]: Second argument has to be between 1 and the number of elements in the array in [/srv/http/cc51ag1/app/controllers/desafios_controller.php, line 225]
2011-06-21 03:13:43 Warning: Warning (2): array_rand() [http://php.net/function.array-rand]: Second argument has to be between 1 and the number of elements in the array in [/srv/http/cc51ag1/app/controllers/desafios_controller.php, line 226]
2011-06-21 03:14:25 Warning: Warning (2): array_rand() [http://php.net/function.array-rand]: Second argument has to be between 1 and the number of elements in the array in [/srv/http/cc51ag1/app/controllers/desafios_controller.php, line 225]
2011-06-21 03:14:25 Warning: Warning (2): array_rand() [http://php.net/function.array-rand]: Second argument has to be between 1 and the number of elements in the array in [/srv/http/cc51ag1/app/controllers/desafios_controller.php, line 226]
2011-06-21 03:20:37 Warning: Warning (2): array_rand() [http://php.net/function.array-rand]: Second argument has to be between 1 and the number of elements in the array in [/srv/http/cc51ag1/app/controllers/desafios_controller.php, line 226]
2011-06-21 03:20:37 Warning: Warning (2): array_rand() [http://php.net/function.array-rand]: Second argument has to be between 1 and the number of elements in the array in [/srv/http/cc51ag1/app/controllers/desafios_controller.php, line 227]
2011-06-21 04:17:40 Warning: Warning (2): array_rand() [http://php.net/function.array-rand]: Second argument has to be between 1 and the number of elements in the array in [/srv/http/cc51ag1/app/controllers/desafios_controller.php, line 242]
2011-06-21 04:17:40 Warning: Warning (2): array_rand() [http://php.net/function.array-rand]: Second argument has to be between 1 and the number of elements in the array in [/srv/http/cc51ag1/app/controllers/desafios_controller.php, line 243]
2011-06-21 04:18:44 Warning: Warning (2): array_rand() [http://php.net/function.array-rand]: Second argument has to be between 1 and the number of elements in the array in [/srv/http/cc51ag1/app/controllers/desafios_controller.php, line 242]
2011-06-21 04:18:44 Warning: Warning (2): array_rand() [http://php.net/function.array-rand]: Second argument has to be between 1 and the number of elements in the array in [/srv/http/cc51ag1/app/controllers/desafios_controller.php, line 243]
2011-06-21 04:18:45 Warning: Warning (2): array_rand() [http://php.net/function.array-rand]: Second argument has to be between 1 and the number of elements in the array in [/srv/http/cc51ag1/app/controllers/desafios_controller.php, line 242]
2011-06-21 04:18:45 Warning: Warning (2): array_rand() [http://php.net/function.array-rand]: Second argument has to be between 1 and the number of elements in the array in [/srv/http/cc51ag1/app/controllers/desafios_controller.php, line 243]
2011-06-21 04:19:59 Warning: Warning (2): array_rand() [http://php.net/function.array-rand]: Second argument has to be between 1 and the number of elements in the array in [/srv/http/cc51ag1/app/controllers/desafios_controller.php, line 243]
2011-06-21 04:19:59 Warning: Warning (2): array_rand() [http://php.net/function.array-rand]: Second argument has to be between 1 and the number of elements in the array in [/srv/http/cc51ag1/app/controllers/desafios_controller.php, line 244]
2011-06-21 04:21:03 Warning: Warning (2): array_rand() [http://php.net/function.array-rand]: Second argument has to be between 1 and the number of elements in the array in [/srv/http/cc51ag1/app/controllers/desafios_controller.php, line 244]
2011-06-21 04:21:03 Warning: Warning (2): array_rand() [http://php.net/function.array-rand]: Second argument has to be between 1 and the number of elements in the array in [/srv/http/cc51ag1/app/controllers/desafios_controller.php, line 245]
